"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Suffolk Coastal","54893","Unaltered","Con","25475","Con","28631","3"
"Suffolk South","51416","Unaltered","Con","24550","Con","28187","2"
"Suffolk West","48089","Unaltered","Con","24312","Con","24312","1"
"Sunderland Central","42463","Unaltered","Lab","19495","Lab","23100","4"
"Surrey East","54640","Unaltered","Con","31007","Con","31007","1"
"Surrey Heath","54347","Unaltered","Con","31326","Con","31326","1"
"Surrey South West","57259","Unaltered","Con","33605","Con","33605","1"
"Sussex Mid","55855","Unaltered","Con","28329","Con","28329","1"
"Sutton & Cheam","48508","Unaltered","LD","22156","LD","25778","9"
"Sutton Coldfield","50589","Unaltered","Con","27303","Con","27303","1"
"Swansea East","32676","Unaltered","Lab","16819","Lab","16819","1"
"Swansea West","35593","Altered","Lab","12335","LD","20514","8"
"Swindon North","50295","Unaltered","Con","22408","Con","25792","4"
"Swindon South","47119","Unaltered","Con","19687","Con","27950","6"
"Tamworth","46390","Unaltered","Con","21238","Con","23491","3"
"Tatton","45231","Unaltered","Con","24687","Con","24687","1"
"Taunton Deane","58150","Unaltered","LD","28531","LD","31498","3"
"Telford","41310","Unaltered","Lab","15974","Lab","20799","4"
"Tewkesbury","53961","Unaltered","Con","25472","Con","28021","4"
"Thanet North","43343","Unaltered","Con","22826","Con","22826","1"
"Thanet South","45933","Unaltered","Con","22043","Con","24572","2"
"Thirsk & Malton","38142","Unaltered","Con","20167","Con","20167","1"
"Thornbury & Yate","48226","Unaltered","LD","25032","LD","25032","1"
"Thurrock","45821","Unaltered","Con","16869","Con","23877","4"
"Tiverton & Honiton","54894","Unaltered","Con","27614","Con","27614","1"
"Tonbridge & Malling","51314","Unaltered","Con","29723","Con","29723","1"
"Tooting","50655","Altered","Lab","22038","Con","25766","6"
"Torbay","49210","Unaltered","LD","23126","LD","26825","5"
"Torfaen","37640","Unaltered","Lab","16847","Lab","19290","7"
