y	x_norm	votesh_so	cutoff_34	cutoff_37	cutoff_40	cutoff_43	cutoff_46	cutoff_49
0	-8.229133605957031	54.11456680297852	0	0	0	0	0	0
1	39.39990234375	30.300048828125	0	0	0	0	0	0
0	30.77755355834961	34.61122131347656	1	1	0	0	0	0
1	49.00254058837891	25.49872970581055	0	0	0	0	0	0
1	17.0982837677002	41.18564605712891	0	0	1	1	0	0
0	19.28514289855957	40.35742950439453	0	0	1	0	0	0
0	20.63218688964844	29.79885101318359	0	0	0	0	0	0
0	21.63628578186035	39.18185424804688	0	1	1	0	0	0
1	-.7001429796218872	50.11002349853516	0	0	0	0	0	1
0	-8.965516090393066	39.48275756835938	0	1	1	0	0	0
1	-75.4195556640625	81.48664093017578	0	0	0	0	0	0
1	5.066961288452148	46.11607360839844	0	0	0	0	1	0
0	.6666660308837891	49.66666793823242	0	0	0	0	0	1
0	-24.21318244934082	61.06133270263672	0	0	0	0	0	0
0	-2.695474147796631	38.39506149291992	1	1	1	0	0	0
0	-53.43503952026367	56.89377212524414	0	0	0	0	0	0
0	-7.08547830581665	36.97905731201172	1	1	1	0	0	0
0	16.02253341674805	34.48599624633789	1	0	0	0	0	0
0	-62.15477752685547	62.87399673461914	0	0	0	0	0	0
1	24.99999618530273	26.22641563415527	0	0	0	0	0	0
0	66.96220397949219	16.51889801025391	0	0	0	0	0	0
0	-37.85465240478516	47.58586120605469	0	0	0	0	1	1
0	-8.297440528869629	42.96078109741211	0	0	1	1	1	0
1	46.41604614257813	26.79197692871094	0	0	0	0	0	0
1	41.0802116394043	24.52225685119629	0	0	0	0	0	0
1	21.81208038330078	39.09395980834961	0	1	1	0	0	0
1	-.1627326011657715	36.35069274902344	1	1	1	0	0	0
1	26.05233192443848	36.97383499145508	0	1	0	0	0	0
0	7.963690280914307	45.93252182006836	0	0	0	0	1	0
0	-17.10806465148926	58.37077331542969	0	0	0	0	0	0
1	10.21443557739258	44.89278030395508	0	0	0	0	1	0
0	-13.16600704193115	56.58300399780273	0	0	0	0	0	0
0	76.09485626220703	11.53599739074707	0	0	0	0	0	0
