y	cutoff	region	region_cmb	region_group	x	x_norm
-1.5660019	-46.4	13	7	3	-55.599998	-9.1999989
19.854	-43.4	8	3	2	-37.885002	5.514998
5.6209984	-46.4	13	7	3	-51.935001	-5.5350013
13.334999	-43.4	6	3	2	-53.57	-10.17
12.801003	-43.4	8	3	2	-44.809998	-1.4099976
10.722	-52.4	11	6	7	-62.720001	-10.320002
18.753002	-49.4	10	2	5	-45.830002	3.5699983
9.1269951	-43.4	8	3	2	-59.264999	-15.865
11.011002	-46.4	13	7	3	-49.114998	-2.7149978
28.498001	-43.4	6	3	2	-41.690002	1.7099975
13.249001	-49.4	5	2	5	-64.139999	-14.74
12.627998	-51.4	3	1	6	-49.355	2.0450006
12.025002	-46.4	13	7	3	-59.580002	-13.180002
-.56499863	-43.4	8	3	2	-61.169998	-17.769999
6.8490028	-49.4	5	2	5	-54.095001	-4.6950011
5.4790001	-43.4	6	3	2	-56.449997	-13.049997
15.09	-46.4	13	7	3	-51.974998	-5.5749984
8.9419937	-51.4	1	1	6	-70.730003	-19.330004
.23699951	-42.4	7	4	1	-51.415001	-9.0150013
17.291	-51.4	1	1	6	-46.314999	5.0850015
15.322998	-46.4	13	7	3	-54.485001	-8.085001
6.4199982	-46.4	13	7	3	-53.084999	-6.684999
5.7230034	-51.4	3	1	6	-56.195	-4.7949996
-2.0049973	-46.4	13	7	3	-51.834999	-5.434999
19.362999	-46.4	13	7	3	-49.705002	-3.3050017
.60899353	-42.4	7	4	1	-63.285004	-20.885004
7.8689995	-49.4	2	2	5	-52.760002	-3.360002
.86999893	-42.4	7	4	1	-55.720001	-13.320002
12.163002	-51.4	3	1	6	-62.215	-10.815001
7.557003	-52.4	12	6	7	-52.919998	-.51999819
19.605995	-49.4	5	2	5	-54.864998	-5.4649978
10.495003	-49.4	2	2	5	-59.665001	-10.265001
16.672001	-49.4	5	2	5	-48.075001	1.3249992
10.036999	-43.4	8	3	2	-55.654999	-12.254999
9.1830025	-46.4	13	7	3	-47.41	-1.0099999
13.587997	-42.4	7	4	1	-50.690002	-8.2900028
4.5540009	-49.4	10	2	5	-52.040001	-2.6400008
13.253998	-51.4	4	1	6	-60.205002	-8.8050022
24.308998	-51.4	4	1	6	-45.489998	5.9100022
9.8130035	-52.4	12	6	7	-63.875	-11.475
15.732002	-43.4	8	3	2	-54.220001	-10.820002
7.5620003	-49.4	5	2	5	-50.394997	-.99499667
17.651001	-46.4	13	7	3	-36.919998	9.4800014
6.6310005	-46.4	13	7	3	-44.084999	2.315001
18.510998	-46.4	13	7	3	-39.955002	6.4449983
10.572002	-46.4	13	7	3	-58.794998	-12.394999
15.878002	-46.4	13	7	3	-57.415001	-11.015001
1.4160004	-43.4	8	3	2	-47.665001	-4.2650008
8.5999985	-46.4	13	7	3	-51.550003	-5.150003
10.056	-49.4	2	2	5	-59.480003	-10.080004
16.043999	-47.4	9	5	4	-39.360001	8.039999
11.620998	-42.4	7	4	1	-47.775002	-5.3750014
1.0450058	-46.4	13	7	3	-69.504997	-23.104998
10.75	-49.4	10	2	5	-51.075001	-1.6750008
4.9020004	-43.4	8	3	2	-55.514999	-12.115
18.434002	-46.4	13	7	3	-48.059998	-1.6599976
4.6509972	-46.4	13	7	3	-58.965	-12.565001
15.686005	-46.4	13	7	3	-50.384998	-3.9849982
20.860996	-49.4	10	2	5	-46.459999	2.940001
16.665001	-51.4	3	1	6	-48.294998	3.1050019
12.545998	-46.4	13	7	3	-56.849998	-10.449999
17.041	-49.4	5	2	5	-57.084999	-7.684999
14.490002	-49.4	5	2	5	-45.779999	3.6200013
12.105	-51.4	1	1	6	-54.134998	-2.7349982
9.7439995	-42.4	7	4	1	-48.955002	-6.5550017
16.709	-49.4	5	2	5	-54.114998	-4.7149978
11.164001	-47.4	9	5	4	-57.625	-10.225
18.07	-51.4	1	1	6	-34.514999	16.885
7.9209976	-43.4	8	3	2	-50.630001	-7.230001
11.598999	-46.4	13	7	3	-48.264999	-1.8649994
6.677002	-49.4	2	2	5	-62.644997	-13.244997
11.246998	-43.4	8	3	2	-49.055	-5.6550002
16.27	-46.4	13	7	3	-46.09	.30999985
-.035003662	-43.4	8	3	2	-64.105003	-20.705004
5.8430023	-42.4	7	4	1	-49.834999	-7.434999
4.1139984	-42.4	7	4	1	-59.43	-17.030001
8.6539993	-52.4	11	6	7	-52.584999	-.18499908
4.3920021	-46.4	13	7	3	-44.305	2.0949998
13.091003	-49.4	2	2	5	-53.415001	-4.0150008
12.514999	-43.4	8	3	2	-58.014999	-14.615
20.859001	-43.4	6	3	2	-49.915001	-6.5150008
14.272999	-43.4	8	3	2	-48.695	-5.2949996
25.126999	-43.4	8	3	2	-47.959999	-4.559999
17.179001	-43.4	6	3	2	-40.93	2.4699998
16.363003	-46.4	13	7	3	-48.290001	-1.8900009
12.437996	-52.4	12	6	7	-55.690002	-3.2900023
13.242996	-46.4	13	7	3	-54.715	-8.3150005
23.407997	-49.4	5	2	5	-45.599998	3.8000016
15.130001	-46.4	13	7	3	-46.315002	.084997557
17.811001	-47.4	9	5	4	-45.445	1.9550003
8.7019997	-43.4	8	3	2	-43.68	-.2800003
12.379002	-46.4	13	7	3	-49.48	-3.0799994
17.535	-49.4	10	2	5	-46.169998	3.2300019
-22.906002	-49.4	5	2	5	-53.150002	-3.7500014
9.3590012	-49.4	5	2	5	-50.415001	-1.0150009
11.114002	-51.4	1	1	6	-56.529999	-5.1299987
16.164001	-46.4	13	7	3	-43.494999	2.9050012
18.171001	-46.4	13	7	3	-43.27	3.1299996
7.7599983	-51.4	1	1	6	-60.305	-8.9050007
9.1969986	-42.4	7	4	1	-50.400002	-8.0000019
8.9710007	-49.4	2	2	5	-53.139999	-3.7399993
3.5250015	-49.4	2	2	5	-63.384998	-13.984999
8.4310036	-47.4	9	5	4	-54.73	-7.3299994
12.081001	-51.4	4	1	6	-66.195	-14.795
8.776001	-49.4	5	2	5	-45.599998	3.8000016
18.233002	-42.4	7	4	1	-59.34	-16.940001
16.41	-49.4	10	2	5	-41.529999	7.8700013
5.8779984	-46.4	13	7	3	-47.200001	-.80000079
8.5909996	-46.4	13	7	3	-48.239998	-1.8399979
10.409	-52.4	12	6	7	-55.075001	-2.6750007
9.243	-43.4	8	3	2	-43.945	-.54499972
7.3050003	-43.4	8	3	2	-52.790001	-9.3900013
5.1930008	-43.4	8	3	2	-54.489998	-11.089998
14.278999	-49.4	2	2	5	-59.875	-10.475
19.723999	-46.4	13	7	3	-41.080002	5.3199983
20.527	-46.4	13	7	3	-44.025002	2.3749986
11.112	-47.4	9	5	4	-59.900002	-12.500002
5.5060005	-49.4	10	2	5	-52.169998	-2.7699981
2.8870049	-43.4	8	3	2	-59.715	-16.315001
-4.5059967	-43.4	8	3	2	-67.839996	-24.439997
2.7479973	-51.4	4	1	6	-55.900002	-4.5000014
16.445999	-43.4	6	3	2	-46.779999	-3.3799987
9.257	-46.4	13	7	3	-57.360001	-10.960001
16.565002	-51.4	3	1	6	-52.525002	-1.1250015
16.906998	-47.4	9	5	4	-40.154999	7.2450013
15.234001	-46.4	13	7	3	-49.415001	-3.0150008
5.1930008	-43.4	6	3	2	-48.84	-5.4400001
10.371002	-51.4	4	1	6	-59.595001	-8.1950016
18.972	-42.4	7	4	1	-49.650002	-7.2500014
23.541	-46.4	13	7	3	-38.830002	7.5699983
8.3700027	-46.4	13	7	3	-56.540001	-10.140001
21.602997	-46.4	13	7	3	-40.330002	6.0699983
15.390003	-42.4	7	4	1	-48.669998	-6.2699981
25.806004	-47.4	9	5	4	-43.485001	3.9149995
7.6219978	-46.4	13	7	3	-51.474998	-5.0749984
13.928001	-51.4	4	1	6	-54.135002	-2.735002
9.9529991	-47.4	9	5	4	-49.190002	-1.7900025
8.894001	-47.4	9	5	4	-53.114998	-5.7149978
15.345005	-49.4	5	2	5	-51.459999	-2.059999
13.350002	-43.4	8	3	2	-46.720001	-3.3200011
22.619999	-46.4	13	7	3	-45.834999	.56500089
8.7739983	-49.4	10	2	5	-44.620003	4.7799973
3.4780045	-49.4	5	2	5	-62.339996	-12.939997
15.700001	-51.4	3	1	6	-60.834999	-9.4349995
8.4079971	-46.4	13	7	3	-63.735001	-17.335001
6.711998	-46.4	13	7	3	-46.195	.20500031
16.229996	-46.4	13	7	3	-47.919998	-1.5199982
9.3700027	-46.4	13	7	3	-56.345001	-9.9450016
5.105999	-46.4	13	7	3	-47.885002	-1.4850022
8.6060028	-43.4	8	3	2	-47.794998	-4.3949981
14.208	-43.4	6	3	2	-46.684998	-3.2849975
18.037003	-49.4	10	2	5	-54.535	-5.1349998
9.4930038	-49.4	5	2	5	-59.525002	-10.125002
7.026001	-43.4	8	3	2	-44.305	-.90500033
2.7260017	-46.4	13	7	3	-56.794998	-10.394999
12.238998	-46.4	13	7	3	-46.084999	.31500092
16.376999	-46.4	13	7	3	-45.875	.52499998
-1.5150032	-51.4	4	1	6	-54.669998	-3.2699981
13.146999	-43.4	6	3	2	-49.019997	-5.6199965
7.6730003	-47.4	9	5	4	-42.184998	5.2150025
11.473	-52.4	12	6	7	-64.380005	-11.980005
9.4380035	-43.4	8	3	2	-66.830002	-23.430002
9.0359993	-46.4	13	7	3	-49.330002	-2.9300017
4.2970009	-46.4	13	7	3	-52.459999	-6.059999
14.034004	-43.4	8	3	2	-54.724998	-11.324999
-7.5999985	-47.4	9	5	4	-66.809998	-19.409998
1.6350021	-43.4	8	3	2	-52.334999	-8.9349995
8.8320007	-46.4	13	7	3	-68.709999	-22.309999
13.136997	-46.4	13	7	3	-51.625	-5.2249999
8.6679993	-51.4	3	1	6	-53.309998	-1.9099976
10.103001	-49.4	5	2	5	-47.665001	1.7349991
19.750999	-49.4	5	2	5	-39.59	9.8099995
18.889	-49.4	5	2	5	-41.720001	7.6799989
14.506001	-49.4	10	2	5	-61.93	-12.530001
9.5320015	-46.4	13	7	3	-48.779999	-2.3799987
25.904999	-49.4	10	2	5	-47.800003	1.5999969
-.35900116	-49.4	10	2	5	-69.989998	-20.589998
14.592999	-46.4	13	7	3	-36.875	9.5249996
16.565998	-49.4	10	2	5	-38.885002	10.514997
13.307999	-46.4	13	7	3	-38.474998	7.9250016
10.605999	-47.4	9	5	4	-46.959999	.44000092
10.511002	-42.4	7	4	1	-62.810001	-20.410002
20.101002	-47.4	9	5	4	-46.894997	.50500333
10.507999	-47.4	9	5	4	-51.25	-3.8499999
23.790997	-49.4	5	2	5	-40.504997	8.8950024
11.882	-46.4	13	7	3	-43.674999	2.7250009
-29.504002	-42.4	7	4	1	-61.849998	-19.449999
9.9680023	-43.4	8	3	2	-55.764999	-12.365
12.095999	-47.4	9	5	4	-34.525002	12.874998
6.7339973	-49.4	10	2	5	-58.595001	-9.1950016
4.9219971	-42.4	7	4	1	-57.215	-14.815001
14.166	-43.4	8	3	2	-51.535	-8.1350002
12.257999	-46.4	13	7	3	-36.215	10.184999
5.598999	-43.4	8	3	2	-46.27	-2.8700004
10.174999	-46.4	13	7	3	-54.650002	-8.2500019
12.712002	-49.4	10	2	5	-52.02	-2.6200004
7.5229988	-46.4	13	7	3	-40.635002	5.764998
12.683998	-51.4	1	1	6	-46.364998	5.0350022
18.799999	-43.4	8	3	2	-41.599998	1.8000015
5.6049995	-46.4	13	7	3	-43.334999	3.065001
26.660999	-46.4	13	7	3	-37.345001	9.0549984
17.550999	-42.4	7	4	1	-49.800003	-7.400003
11.822998	-46.4	13	7	3	-62.689999	-16.289999
15	-49.4	10	2	5	-46.940002	2.4599977
17.095997	-43.4	8	3	2	-44.544998	-1.1449982
7.7830009	-52.4	11	6	7	-46.510002	5.889998
8.5029984	-46.4	13	7	3	-39.805	6.5949998
12.987999	-43.4	8	3	2	-44.895	-1.4950005
2.5330009	-51.4	4	1	6	-52.790001	-1.3900009
16.736996	-49.4	2	2	5	-54.014999	-4.6149993
14.861	-49.4	5	2	5	-39.575001	9.8249989
13.658001	-43.4	8	3	2	-44.48	-1.0799996
7.1809959	-49.4	2	2	5	-58.685001	-9.2850018
7.9400024	-43.4	8	3	2	-53.794998	-10.394999
-5.6949997	-51.4	1	1	6	-70.264999	-18.865
9.3669968	-46.4	13	7	3	-76.104996	-29.704996
8.1149979	-46.4	13	7	3	-55.43	-9.0300007
21.435001	-49.4	5	2	5	-50.75	-1.35
-.85199738	-43.4	8	3	2	-64.009995	-20.609995
7.4109993	-46.4	13	7	3	-52.220001	-5.8200011
4.2269974	-49.4	5	2	5	-62.32	-12.92
-5.1110001	-49.4	5	2	5	-52.419998	-3.0199981
12.860001	-42.4	7	4	1	-48.205002	-5.8050017
13.591999	-46.4	13	7	3	-46.614998	-.21499786
9.6299973	-46.4	13	7	3	-44.16	2.2400002
17.091999	-43.4	8	3	2	-55.014999	-11.615
9.0400009	-46.4	13	7	3	-63.965004	-17.565004
12.021999	-46.4	13	7	3	-50.375	-3.9749999
-.0069999695	-46.4	13	7	3	-60.470001	-14.070002
21.614998	-47.4	9	5	4	-47.584999	-.18499908
13.66	-46.4	13	7	3	-49.959999	-3.559999
3.7700005	-43.4	6	3	2	-53.77	-10.370001
22.534	-49.4	5	2	5	-47.824997	1.575003
9.0429955	-43.4	8	3	2	-55.565002	-12.165003
4.5619965	-46.4	13	7	3	-64.584999	-18.184999
15.281002	-43.4	6	3	2	-48.459999	-5.059999
14.316998	-43.4	6	3	2	-41.169998	2.2300019
17.985996	-52.4	12	6	7	-61.889999	-9.4899998
17.653996	-46.4	13	7	3	-47.525002	-1.1250015
14.778999	-42.4	7	4	1	-42.035	.36500016
18.607998	-42.4	7	4	1	-39.400002	2.9999986
-2.3010025	-46.4	13	7	3	-43.480003	2.9199967
12.522003	-46.4	13	7	3	-55.775002	-9.3750019
28.978001	-47.4	9	5	4	-32.994999	14.405001
6.1450005	-43.4	6	3	2	-47.175003	-3.775003
16.218002	-46.4	13	7	3	-47.114998	-.71499789
4.7290001	-43.4	8	3	2	-60.254997	-16.854998
8.8919983	-46.4	13	7	3	-52.665001	-6.2650008
4.3850021	-43.4	8	3	2	-60.419998	-17.019999
7.7919998	-43.4	8	3	2	-42.005001	1.3949989
5.7699966	-46.4	13	7	3	-56.235001	-9.835001
9.2770004	-47.4	9	5	4	-51.290001	-3.8900008
8.204998	-42.4	7	4	1	-44.120003	-1.7200028
10.210999	-43.4	8	3	2	-45.400002	-2.0000014
7.5200005	-49.4	5	2	5	-59.625	-10.225
16.759003	-46.4	13	7	3	-39.334999	7.065001
9.1619987	-49.4	10	2	5	-59.139999	-9.7399998
23.348	-49.4	5	2	5	-37.775002	11.624998
17.716999	-43.4	6	3	2	-47.755001	-4.355001
3.0250015	-47.4	9	5	4	-55.779999	-8.3799992
30.959003	-49.4	10	2	5	-42.715	6.6849999
14.216	-46.4	13	7	3	-39.875	6.5250001
-6.0820007	-49.4	5	2	5	-49.940002	-.54000247
9.0769997	-46.4	13	7	3	-48.59	-2.1900001
13.304005	-46.4	13	7	3	-49.044998	-2.6449981
6.6310005	-43.4	8	3	2	-55.095001	-11.695002
.60100174	-47.4	9	5	4	-55.105	-7.7049994
9.1959991	-46.4	13	7	3	-54.5	-8.1000004
12.104	-46.4	13	7	3	-43.220001	3.1799989
22.297997	-51.4	4	1	6	-50.739998	.66000211
16.007999	-46.4	13	7	3	-41.004997	5.3950028
19.077999	-51.4	1	1	6	-52.849998	-1.4499985
27.920002	-43.4	6	3	2	-38.224998	5.1750016
15.584999	-49.4	5	2	5	-45.994999	3.4050012
20.084003	-43.4	8	3	2	-56.23	-12.83
1.493	-46.4	13	7	3	-51.459999	-5.059999
12.782997	-42.4	7	4	1	-69.709999	-27.309999
16.640003	-49.4	10	2	5	-43.799999	5.6000009
19.188	-46.4	13	7	3	-40.915001	5.4849992
-1.2819977	-49.4	5	2	5	-67.869995	-18.469995
8.6130028	-46.4	13	7	3	-47.129997	-.72999728
11.038002	-46.4	13	7	3	-47.68	-1.2800003
17.521999	-42.4	7	4	1	-47.77	-5.3700004
15.220001	-49.4	5	2	5	-49.575001	-.17500076
9.1160049	-43.4	8	3	2	-53.544998	-10.144999
3.8979988	-49.4	10	2	5	-50.75	-1.35
7.1580009	-46.4	13	7	3	-55.614998	-9.2149982
3.6300011	-46.4	13	7	3	-56.779999	-10.379999
10.774998	-47.4	9	5	4	-42.255001	5.144999
11.906998	-51.4	4	1	6	-56.075001	-4.6750007
14.200001	-49.4	5	2	5	-48.470001	.92999876
6.1739998	-46.4	13	7	3	-58.805	-12.405001
.15100098	-49.4	5	2	5	-54.73	-5.3299994
-8.9720001	-49.4	5	2	5	-57.09	-7.6900001
11.403999	-52.4	12	6	7	-56.495003	-4.0950027
.82400131	-46.4	13	7	3	-51.264999	-4.8649993
10.053001	-51.4	1	1	6	-58.25	-6.8499999
16.209999	-42.4	7	4	1	-43.345001	-.94500124
13.662998	-49.4	10	2	5	-50.07	-.66999972
10.201004	-49.4	2	2	5	-54.915001	-5.5150008
1.9830017	-43.4	8	3	2	-63.549995	-20.149996
