x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
8816.667	0	-1372.333	1	0	0	0	0	0	0
11013.667	1	824.66699	1	1	0	0	0	0	0
25101.666	1	1328.666	0	0	0	1	1	0	0
21580.666	0	-2192.334	0	0	1	1	0	0	0
23352.334	1	-420.66602	0	0	1	1	0	0	0
11026	0	837	1	1	0	0	0	0	0
26551.666	0	2778.666	0	0	0	1	1	0	0
26551.666	0	2778.666	0	0	0	1	1	0	0
9564.333	0	-624.66699	1	0	0	0	0	0	0
8354.667	1	-1834.333	1	0	0	0	0	0	0
10635	1	446	1	1	0	0	0	0	0
7886	0	-2303	1	0	0	0	0	0	0
7146	0	-3043	1	0	0	0	0	0	0
7200.6665	0	-2988.3335	1	0	0	0	0	0	0
9280	1	-909	1	0	0	0	0	0	0
9473.333	1	-715.66699	1	0	0	0	0	0	0
13872	1	287	0	1	1	0	0	0	0
14588	1	1003	0	1	1	0	0	0	0
19387.666	0	2406.666	0	0	1	1	0	0	0
19542.666	1	2561.666	0	0	1	1	0	0	0
29962.666	0	-602.33398	0	0	0	1	1	0	0
35504.332	1	-1851.668	0	0	0	0	1	1	0
12168	0	-1417	1	1	0	0	0	0	0
13164.667	1	-420.33301	1	1	0	0	0	0	0
10544.667	0	355.66699	1	1	0	0	0	0	0
11197.667	1	1008.667	1	1	0	0	0	0	0
7487	0	-2702	1	0	0	0	0	0	0
13173.667	0	-411.33301	1	1	0	0	0	0	0
13173.667	0	-411.33301	1	1	0	0	0	0	0
15979	1	-1002	0	1	1	0	0	0	0
20980	0	-2793	0	0	1	1	0	0	0
21566.334	0	-2206.666	0	0	1	1	0	0	0
12806	0	-779	1	1	0	0	0	0	0
25786	0	2013	0	0	0	1	1	0	0
26703.666	0	2930.666	0	0	0	1	1	0	0
18109	0	1128	0	0	1	1	0	0	0
10488.667	1	299.66699	1	1	0	0	0	0	0
12661.667	0	-923.33301	1	1	0	0	0	0	0
26692.334	0	2919.334	0	0	0	1	1	0	0
29880	1	-685	0	0	0	1	1	0	0
33219.332	1	2654.332	0	0	0	0	1	1	0
18029	1	1048	0	0	1	1	0	0	0
25654	0	1881	0	0	0	1	1	0	0
10185.333	0	-3.6669922	1	0	0	0	0	0	0
11314	0	1125	1	1	0	0	0	0	0
12024	1	-1561	1	1	0	0	0	0	0
12339	0	-1246	1	1	0	0	0	0	0
20072.666	1	3091.666	0	0	1	1	0	0	0
10602.667	1	413.66699	1	1	0	0	0	0	0
12774	1	-811	1	1	0	0	0	0	0
18227.666	0	1246.666	0	0	1	1	0	0	0
18041.666	1	1060.666	0	0	1	1	0	0	0
20625	0	-3148	0	0	1	1	0	0	0
37708.332	1	352.33203	0	0	0	0	0	1	1
21711.666	0	-2061.334	0	0	1	1	0	0	0
20861.334	0	-2911.666	0	0	1	1	0	0	0
33345	0	2780	0	0	0	0	1	1	0
18181.666	1	1200.666	0	0	1	1	0	0	0
19383.334	1	2402.334	0	0	1	1	0	0	0
26408	0	2635	0	0	0	1	1	0	0
28497.666	0	-2067.334	0	0	0	1	1	0	0
36291	1	-1065	0	0	0	0	1	1	0
7387.3335	0	-2801.6665	1	0	0	0	0	0	0
7696.3335	0	-2492.6665	1	0	0	0	0	0	0
16090	0	-891	0	1	1	0	0	0	0
13923.667	0	338.66699	0	1	1	0	0	0	0
20237	0	3256	0	0	1	1	0	0	0
7449	0	-2740	1	0	0	0	0	0	0
32791.332	0	2226.332	0	0	0	0	1	1	0
38793.332	0	1437.332	0	0	0	0	0	1	1
41539.332	1	-2608.668	0	0	0	0	0	1	1
11414	0	1225	1	1	0	0	0	0	0
10586.667	0	397.66699	1	1	0	0	0	0	0
11604.333	1	1415.333	1	1	0	0	0	0	0
18486.334	0	1505.334	0	0	1	1	0	0	0
27438	1	-3127	0	0	0	1	1	0	0
29131.666	1	-1433.334	0	0	0	1	1	0	0
19875.666	1	2894.666	0	0	1	1	0	0	0
13179.667	1	-405.33301	1	1	0	0	0	0	0
16809	1	-172	0	1	1	0	0	0	0
25032.334	0	1259.334	0	0	0	1	1	0	0
13904.667	1	319.66699	0	1	1	0	0	0	0
8950.333	0	-1238.667	1	0	0	0	0	0	0
18227.666	1	1246.666	0	0	1	1	0	0	0
28150.334	0	-2414.666	0	0	0	1	1	0	0
