"name","industry","sector","website","rank"
"Helmerich & Payne","Oil and Gas Equipment, Services","Energy","http://www.hpinc.com",655
"Lexmark International","Computer Peripherals","Technology","http://www.lexmark.com",656
"American Axle & Manufacturing","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.aam.com",657
"Crown Castle International","Telecommunications","Telecommunications","http://www.crowncastle.com",658
"Targa Energy","Pipelines","Energy","http://www.targaresources.com",659
"Oceaneering International","Oil and Gas Equipment, Services","Energy","http://www.oceaneering.com",660
"Cabot","Chemicals","Chemicals","http://www.cabotcorp.com",661
"CIT Group","Commercial Banks","Financials","http://www.cit.com",662
"Cabela's","Specialty Retailers: Other","Retailing","http://www.cabelas.com",663
"Forest Laboratories","Pharmaceuticals","Health Care","http://www.actavis.com",664
"DCP Midstream Partners","Pipelines","Energy","http://www.dcppartners.com",665
"Ryerson Holding","Metals","Materials","http://www.ryerson.com",666
"QEP Resources","Mining, Crude-Oil Production","Energy","http://www.qepres.com",667
"Thor Industries","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.thorindustries.com",668
"HSN","Specialty Retailers: Other","Retailing","http://www.hsni.com",669
"Graham Holdings","Education","Business Services","http://www.ghco.com",670
"Electronic Arts","Computer Software","Technology","http://www.ea.com",671
"Boise Cascade","Wholesalers: Diversified","Wholesalers","http://www.bc.com",672
"Hub Group","Transportation and Logistics","Transportation","http://www.hubgroup.com",673
"CACI International","Information Technology Services","Technology","http://www.caci.com",674
"Roper Technologies","Scientific,Photographic and Control Equipment","Technology","http://www.ropertech.com",675
"Towers Watson","Diversified Outsourcing Services","Business Services","http://www.towerswatson.com",676
"Smart & Final Stores","Food and Drug Stores","Food & Drug Stores","http://www.smartandfinal.com",677
"Big Heart Pet Brands","Food Consumer Products","Food, Beverages & Tobacco","http://www.bigheartpet.com",678
"Fossil Group","Apparel","Apparel","http://www.fossilgroup.com",679
"Nasdaq OMX Group","Securities","Financials","http://www.nasdaqomx.com",680
"Country Financial","Insurance: Property and Casualty (Mutual)","Financials","http://www.countryfinancial.com",681
"Snap-on","Industrial Machinery","Industrials","http://www.snapon.com",682
"Pinnacle West Capital","Utilities: Gas and Electric","Energy","http://www.pinnaclewest.com",683
"EchoStar","Network and Other Communications Equipment","Technology","http://www.echostar.com",684
"Systemax","Specialty Retailers: Other","Retailing","http://www.systemax.com",685
"WhiteWave Foods","Food Consumer Products","Food, Beverages & Tobacco","http://www.whitewave.com",686
"CUNA Mutual Group","Insurance: Life, Health (stock)","Financials","http://www.cunamutual.com",687
"Cooper Tire & Rubber","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.coopertire.com",688
"ADT","Diversified Outsourcing Services","Business Services","http://www.adt.com",689
"Cerner","Health Care: Pharmacy and Other Services","Health Care","http://www.cerner.com",690
"Clean Harbors","Waste Management","Business Services","http://www.cleanharbors.com",691
"First Solar","Energy","Energy","http://www.firstsolar.com",692
"Lennox International","Industrial Machinery","Industrials","http://www.lennoxinternational.com",693
"Enable Midstream Partners","Pipelines","Energy","http://www.enablemidstream.com",694
"Hubbell","Electronics, Electrical Equip.","Industrials","http://www.hubbell.com",695
"Unisys","Information Technology Services","Technology","http://www.unisys.com",696
"Alliant Energy","Utilities: Gas and Electric","Energy","http://www.alliantenergy.com",697
"Welltower","Real estate","Financials","www.welltower.com",698
"Moody's","Diversified Financials","Financials","http://www.moodys.com",699
"C.R. Bard","Medical Products and Equipment","Health Care","http://www.crbard.com",700
"Urban Outfitters","Specialty Retailers: Apparel","Retailing","http://www.urbanoutfittersinc.com",701
"Church & Dwight","Household and Personal Products","Household Products","http://www.churchdwight.com",702
"American Eagle Outfitters","Specialty Retailers: Apparel","Retailing","http://www.ae.com",703
"Oaktree Capital Group","Securities","Financials","http://www.oaktreecapital.com",704
"Regal Beloit","Electronics, Electrical Equip.","Industrials","http://www.regalbeloit.com",705
"Tailored Brands","Specialty Retailers: Apparel","Retailing","http://www.menswearhouse.com",706
"Cooper-Standard Holdings","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.cooperstandard.com",707
"W.R. Grace","Chemicals","Chemicals","http://www.grace.com",708
"Ulta Salon Cosmetics & Fragrance","Specialty Retailers: Other","Retailing","http://www.ulta.com",709
"Hawaiian Electric Industries","Utilities: Gas and Electric","Energy","http://www.hei.com",710
"SkyWest","Airlines","Transportation","http://www.skywest.com",711
"Green Plains","Energy","Energy","http://www.gpreinc.com",712
"LVB Acquisition","Medical Products and Equipment","Health Care","http://www.biomet.com",713
"NBTY","Pharmaceuticals","Health Care","http://www.nbty.com",714
"Carlisle","Building Materials, Glass","Materials","http://www.carlisle.com",715
"United Refining","Petroleum Refining","Energy","http://www.urc.com",716
"Tesla Motors","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.teslamotors.com",717
"Groupon","Internet Services and Retailing","Technology","http://www.groupon.com",718
"Landstar System","Trucking, Truck Leasing","Transportation","http://www.landstar.com",719
"Patterson-UTI Energy","Oil and Gas Equipment, Services","Energy","http://www.patenergy.com",720
"EP Energy","Mining, Crude-Oil Production","Energy","http://www.epenergy.com",721
"ON Semiconductor","Semiconductors and Other Electronic Components","Technology","http://www.onsemi.com",722
"Rent-A-Center","Specialty Retailers: Other","Retailing","http://www.rentacenter.com",723
"SunGard Data Systems","Financial Data Services","Business Services","http://www.sungard.com",724
"Citrix Systems","Network and Other Communications Equipment","Technology","http://www.citrix.com",725
"Amkor Technology","Semiconductors and Other Electronic Components","Technology","http://www.amkor.com",726
"TD Ameritrade Holding","Securities","Financials","http://www.amtd.com",727
"Worthington Industries","Metals","Materials","http://www.worthingtonindustries.com",728
"Valmont Industries","Construction and Farm Machinery","Industrials","http://www.valmont.com",729
"Iron Mountain","Diversified Outsourcing Services","Business Services","http://www.ironmountain.com",730
"Puget Energy","Utilities: Gas and Electric","Energy","http://www.pugetenergy.com",731
"CME Group","Securities","Financials","http://www.cmegroup.com",732
"IAC/InterActiveCorp","Internet Services and Retailing","Technology","http://www.iac.com",733
"Par Pacific Holdings","Petroleum Refining","Energy","http://www.parpacific.com/",734
"Taylor Morrison Home","Homebuilders","Engineering & Construction","http://www.taylormorrison.com",735
"Chiquita Brands International","Food Production","Food, Beverages & Tobacco","http://www.chiquita.com",736
"International Flavors & Fragrances","Chemicals","Chemicals","http://www.iff.com",737
"Whiting Petroleum","Mining, Crude-Oil Production","Energy","http://www.whiting.com",738
"Under Armour","Apparel","Apparel","http://www.uabiz.com",739
"Ventas","Real estate","Financials","http://www.ventasreit.com",740
"NuStar Energy","Pipelines","Energy","http://www.nustarenergy.com",741
"Select Medical Holdings","Health Care: Medical Facilities","Health Care","http://www.selectmedicalholdings.com",742
"Diebold","Computers, Office Equipment","Technology","http://www.diebold.com",743
"American National Insurance","Insurance: Life, Health (stock)","Financials","http://www.anico.com",744
"Varian Medical Systems","Medical Products and Equipment","Health Care","http://www.varian.com",745
"Apollo Education Group","Education","Business Services","http://www.apollogrp.edu",746
"Westinghouse Air Brake Technologies","Industrial Machinery","Industrials","http://www.wabtec.com",747
"SunPower","Energy","Energy","http://www.sunpower.com",748
"Warner Music Group","Entertainment","Media","http://www.wmg.com",749
"American Water Works","zMiscellaneous","Energy","http://www.amwater.com",750
"H&R Block","Diversified Financials","Financials","http://www.hrblock.com",751
"Mercury General","Insurance: Property and Casualty (Stock)","Financials","http://www.mercuryinsurance.com",752
"TECO Energy","Utilities: Gas and Electric","Energy","http://www.tecoenergy.com",753
"Service Corp. International","zMiscellaneous","Business Services","http://www.sci-corp.com",754
"Vulcan Materials","Building Materials, Glass","Materials","http://www.vulcanmaterials.com",755
"Brown-Forman","Beverages","Food, Beverages & Tobacco","http://www.brown-forman.com",756
"Regal Entertainment Group","Entertainment","Media","http://www.regmovies.com",757
"Tempur Sealy International","Home Equipment, Furnishings","Household Products","http://www.tempursealy.com",758
"Steelcase","Home Equipment, Furnishings","Household Products","http://www.steelcase.com",759
"MWI Veterinary Supply","Wholesalers: Diversified","Wholesalers","http://www.mwivet.com",760
"RS Legacy","Specialty Retailers: Other","Retailing","http://www.radioshackcorporation.com",761
"Sprouts Farmers Market","Food and Drug Stores","Food & Drug Stores","http://www.sprouts.com",762
"Sabre","Internet Services and Retailing","Technology","http://www.sabre.com",763
"Martin Marietta Materials","Building Materials, Glass","Materials","http://www.martinmarietta.com",764
"Huntington Bancshares","Commercial Banks","Financials","http://www.huntington.com",765
"Alere","Medical Products and Equipment","Health Care","http://www.alere.com",766
"TreeHouse Foods","Food Consumer Products","Food, Beverages & Tobacco","http://www.treehousefoods.com",767
"Arch Coal","Mining, Crude-Oil Production","Energy","http://www.archcoal.com",768
"KLA-Tencor","Semiconductors and Other Electronic Components","Technology","http://www.kla-tencor.com",769
"Crane","Industrial Machinery","Industrials","http://www.craneco.com",770
"Iasis Healthcare","Health Care: Medical Facilities","Health Care","http://www.iasishealthcare.com",771
"BWX Technologies","Industrial Machinery","Industrials","www.bwxt.com",772
"Dentsply Sirona","Medical Products and Equipment","Health Care","http://www.dentsplysirona.com",773
"Tribune Media","Entertainment","Media","http://www.tribunemedia.com",774
"ScanSource","Wholesalers: Electronics and Office Equipment","Wholesalers","http://www.scansource.com",775
"Univision Communications","Entertainment","Media","http://corporate.univision.com",776
"Brinker International","Food Services","Hotels, Resturants & Leisure","http://www.brinker.com",777
"Archrock","Oil and Gas Equipment, Services","Energy","http://www.archrock.com/",778
"Carter's","Apparel","Apparel","http://www.carters.com",779
"Analog Devices","Semiconductors and Other Electronic Components","Technology","http://www.analog.com",780
"Genesco","Specialty Retailers: Apparel","Retailing","http://www.genesco.com",781
"Scotts Miracle-Gro","Chemicals","Chemicals","http://www.scotts.com",782
"Convergys","Diversified Outsourcing Services","Business Services","http://www.convergys.com",783
"Exide Technologies","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.exide.com",784
"WABCO Holdings","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.wabco-auto.com",785
"Kennametal","Industrial Machinery","Industrials","http://www.kennametal.com",786
"Amerco","Trucking, Truck Leasing","Transportation","http://www.amerco.com",787
"Bon-Ton Stores","General Merchandisers","Retailing","http://www.bonton.com",788
"Team Health Holdings","Health Care: Pharmacy and Other Services","Health Care","http://www.teamhealth.com",789
"Regeneron Pharmaceuticals","Pharmaceuticals","Health Care","http://www.regeneron.com",790
"OneMain Holdings","Diversified Financials","Financials","www.archrock.com",791
"Lincoln Electric Holdings","Industrial Machinery","Industrials","http://www.lincolnelectric.com",792
"Dresser-Rand Group","Industrial Machinery","Industrials","http://www.dresser-rand.com",793
"West","Diversified Outsourcing Services","Business Services","http://www.west.com",794
"Benchmark Electronics","Semiconductors and Other Electronic Components","Technology","http://www.bench.com",795
"Pall","Industrial Machinery","Industrials","http://www.pall.com",796
"Old Dominion Freight Line","Trucking, Truck Leasing","Transportation","http://www.odfl.com",797
"MSC Industrial Direct","Wholesalers: Diversified","Wholesalers","http://www.mscdirect.com",798
"Sentry Insurance Group","Insurance: Property and Casualty (Mutual)","Financials","http://www.sentry.com",799
"Sigma-Aldrich","Chemicals","Chemicals","http://www.sigma-aldrich.com",800
"WGL Holdings","Energy","Energy","http://www.wglholdings.com",801
"Weis Markets","Food and Drug Stores","Food & Drug Stores","http://www.weismarkets.com",802
"Sanderson Farms","Food Production","Food, Beverages & Tobacco","http://www.sandersonfarms.com",803
"StanCorp Financial Group","Insurance: Life, Health (stock)","Financials","http://www.stancorpfinancial.com",804
"Hyster-Yale Materials Handling","Industrial Machinery","Industrials","http://www.hyster-yale.com",805
"Wolverine World Wide","Apparel","Apparel","http://www.wolverineworldwide.com",806
"DST Systems","Financial Data Services","Business Services","http://www.dstsystems.com",807
"Legg Mason","Securities","Financials","http://www.leggmason.com",808
"Teradata","Computer Software","Technology","http://www.teradata.com",809
"Aaron's","Specialty Retailers: Other","Retailing","http://www.aarons.com",810
"Antero Resources","Mining, Crude-Oil Production","Energy","http://www.anteroresources.com",811
"Metaldyne Performance Group","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.mpgdriven.com",812
"Range Resources","Mining, Crude-Oil Production","Energy","http://www.rangeresources.com",813
"Vornado Realty Trust","Real estate","Financials","http://www.vno.com",814
"Boyd Gaming","Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","http://www.boydgaming.com",815
"Covance","Health Care: Pharmacy and Other Services","Health Care","http://www.labcorp.com",816
"Armstrong World Industries","Building Materials, Glass","Materials","http://www.armstrong.com",817
"Cracker Barrel Old Country Store","Food Services","Hotels, Resturants & Leisure","http://www.crackerbarrel.com",818
"Chico's FAS","Specialty Retailers: Apparel","Retailing","http://www.chicosfas.com",819
"Scripps Networks Interactive","Entertainment","Media","http://www.scrippsnetworksinteractive.com",820
"Universal Forest Products","Forest and Paper Products","Materials","http://www.ufpi.com",821
"Concho Resources","Mining, Crude-Oil Production","Energy","http://www.concho.com",822
"ITT","Industrial Machinery","Industrials","http://www.itt.com",823
"HCC Insurance Holdings","Insurance: Property and Casualty (Stock)","Financials","http://www.hcc.com",824
"Moog","Aerospace and Defense","Aerospace & Defense","http://www.moog.com",825
