ibope;;ID;W_orig-1semana;W;UF
1;"""JOAO ARNOLFO CARVALHO DE OLIVEIRA""";;14;39;"""DF"""
25;"""JOFRAN FREJAT""";;14;39;"""DF"""
14;"""LAURO ALVARES DA SILVA CAMPOS""";;14;39;"""DF"""
0;"""MARCUS FABIUS MOTA DE ARAUJO""";;14;39;"""DF"""
0;"""MILTON CINTRA E SILVA""";;14;39;"""DF"""
3;"""GEDALIAS NEVES DA COSTA""";;14;39;"""DF"""
46;"""PAULO OCTAVIO ALVES PEREIRA""";;14;39;"""DF"""
0;"""ANTONIO RICARDO MARTINS GUILLEN""";;14;39;
;;;;25;"""ES"""
21;"""JOAO CARLOS COSER""";ES131;12;37;"""ES"""
2;"""RICARDO ROSETTI CONDE""";ES433;12;37;"""ES"""
2;"""ELIAS DA COSTA COELHO""";;12;37;"""ES"""
36;"""MAGNO PEREIRA MALTA""";ES222;12;37;"""ES"""
44;"""GERSON CAMATA""";ES155;12;37;"""ES"""
1;"""ODMAR PERICLES NASCIMENTO""";ES400;12;37;"""ES"""
26;"""RICARDO REZENDE FERRACO""";ES234;12;37;"""ES"""
22;"""JOAO CARLOS COSER""";ES131;14;39;"""ES"""
4;"""RICARDO ROSETTI CONDE""";ES433;14;39;"""ES"""
2;"""ELIAS DA COSTA COELHO""";;14;39;"""ES"""
45;"""MAGNO PEREIRA MALTA""";ES222;14;39;"""ES"""
44;"""GERSON CAMATA""";ES155;14;39;"""ES"""
1;"""ODMAR PERICLES NASCIMENTO""";ES400;14;39;"""ES"""
28;"""RICARDO REZENDE FERRACO""";ES234;14;39;"""ES"""
23;"""JOAO CARLOS COSER""";ES131;16;41;"""ES"""
5;"""RICARDO ROSETTI CONDE""";ES433;16;41;"""ES"""
2;"""ELIAS DA COSTA COELHO""";;16;41;"""ES"""
47;"""MAGNO PEREIRA MALTA""";ES222;16;41;"""ES"""
47;"""GERSON CAMATA""";ES155;16;41;"""ES"""
